What does a nosey pepper do?	Gets jalapeno business! 
What do you call a fake noodle?		An Impasta 
What do you call an alligator in a vest?	An Investigator 
What happens if you eat yeast and shoe polish?	  Every morning you'll rise and shine! 
"What's the difference between a guitar and a fish?"	"You can't tuna fish." 
What do you call a pile of kittens	a meowntain 
What do you call a baby monkey?		A Chimp off the old block. 
Did you hear about the hungry clock?	It went back four seconds. 
What do you call a boy who finally stood up to the bullies?		An ambulance. 
Why can't you give Elsa a balloon?	Because she will Let it go. 
What do you get from a pampered cow?	Spoiled milk. 
If Mississippi bought Virginia a New Jersey, what would Delaware?	Idaho... Alaska! 
Did you hear about that new broom?	It's sweeping the nation! 
What do you call an elephant that doesn't matter?	An irrelephant. 
What do lawyers wear to court?	Lawsuits! 
What gets wetter the more it dries?		A towel. 
Where do crayons go on vacation?	Color-ado! 
Why did the belt get arrested?	He held up a pair of pants. 
What do you call a fat psychic?		A four chin teller. 
What do you call a computer floating in the ocean?	A Dell Rolling in the Deep. 
What did Bacon say to Tomato?	Lettuce get together! 
What do you call a computer that sings?		A-Dell 
Did you hear about the shampoo shortage in Jamaica?		It's dread-full. 
What is it called when a cat wins a dog show?	A CAT-HAS-TROPHY! 
How do you make a tissue dance?		Put a little boogey in it! 
Why is your foot more special than your other body parts?	Because they have their own soul. 
What is heavy forward but not backward?		Ton. 
What do you call a gangsta snowman?		Froze-T 
What did the femur say to the patella?	I kneed you. 
What do you get if you cross a cat with a dark horse?	Kitty Perry 
Why did the picture go to jail?		Because it was framed. 
What do you call a three-footed aardvark?	a yardvark! 
What do you get when you cross fish and an elephant?	Swimming trunks. 
Where do bees go to the bathroom?	At the BP station! 
Who earns a living driving their customers away?	A taxi driver. 
What do you call a laughing jar of mayonnaise?	LMAYO 
What do you call a dinosaur with a extensive vocabulary?	a thesaurus. 
"How do you shoot a killer bee?"	"With a bee bee gun." 
How do you drown a Hipster?		In the mainstream. 
What kind of jokes do you make in the shower?	Clean Jokes! 
What did the baby corn say to the mama corn?	"Where's Popcorn?" 
What do you call sad coffee?"	Despresso. 
How do you make holy water?		Boil the hell out of it! 
What happened to the dog that swallowed a firefly?	It barked with de-light! 
What stays in the corner and travels all over the world?	A stamp. 
What do you call a man with no body and just a nose?	Nobody nose. 
Why did the computer go to the doctor?	Because it had a virus! 
Why did the giraffe get bad grades?		He had his head in the clouds. 
Why are frogs so happy?		They eat whatever bugs them 
What is brown and has a head and a tail but no legs?	A penny. 
How do you make an Octupus laugh?	With ten-tickles 
Why are pirates called pirates?		Cause they arrrrr. 
What is the tallest building in the world?	The library! It has the most stories! 
What's the first bet that most people make in their lives?	the alpha bet 
What do you get when you cross a cow and a duck?	Milk and quackers! 
How do you organize a space party?	You planet! 
What did the leopard say after eating his owner?	Man, that hit the "spot." 
What do you call a sleeping bull?	A bulldozer! 
What do you call security guards working outside Samsung shops?		Guardians of the Galaxy. 
What do you call having your grandma on speed dial?		Instagram. 
Why did the banana go to the Doctor?	Because it was not peeling well 
Why is England the wettest country?		Because the queen has reigned there for years! 
What belongs to you but others use more?	Your name 
Why do fish live in salt water?		Because pepper makes them sneeze! 
Why did the man put his money in the freezer?	He wanted cold hard cash! 
What do you get when you cross a snowman with a vampire?	Frostbite. 
What is the best day to go to the beach?	Sunday, of course! 
Which is the building is the largest?	The library because it has the most stories. 
What do you call an illegally parked frog?	Toad. 
What bow can't be tied?		A rainbow! 
What do you call a laughing motorcycle?		A Yamahahaha 
What season is it when you are on a trampoline?		Spring time. 
Where did the computer go to dance?		To a disc-o. 
What has one head, one foot and four legs?	A Bed 
What is the difference between a school teacher and a train?	The teacher says spit your gum out and the train says "chew chew chew". 
Why did the birdie go to the hospital?	To get a tweetment. 
Why did the cross-eyed teacher lose her job?	Because she couldn't control her pupils? 
What do you call someone who is afraid of Santa?	A Clausterphobic 
What three candies can you find in every school?	Nerds, DumDums, and smarties. 
What sound do porcupines make when they kiss?	Ouch 
Why was the guy looking for fast food on his friend?	Because his friend said dinner is on me. 
Did you hear the joke about the roof?	Never mind, it's over your head! 
What do you call a bee that lives in America?	  A: USB 
